IPAddress,ObjectName,Zone
1.1.1.1,,
92.52.89.64/28,,
5.152.184.128/25,,
5.152.185.128/26,,
8.19.118.0/24,,
8.31.233.0/24,,
74.205.4.0/24,,
207.97.230.0/24,,
207.97.242.0/24,,
69.20.58.224/28,,
69.20.68.128/29,,
199.187.164.0/24,,
199.187.165.0/24,,
199.187.166.0/24,,
199.187.167.0/24,,
69.25.26.128/26,,
